index,Number of Comments,Number of Subscribers,Membership Duration,Number of Uploads,Profanity in UserID,Age,class
778,21,0,3,1,0,17,0
779,12,2144,3,236,0,15,0
780,31,0,4,5,0,21,0
781,30,4,4,1,0,20,1
782,18,2,3,5,0,16,0
783,29,1,2,5,0,16,0
784,6,1,3,1,0,25,0
785,5,0,3,5,0,32,0
786,33,4,5,5,0,22,0
787,4,0,6,5,0,43,0
788,7,0,3,5,0,14,0
789,1,2,5,5,0,17,0
790,22,8,5,5,0,17,0
791,23,12,3,5,0,40,0
792,1,2,3,5,0,32,0
793,2,24,3,18,1,21,0
794,2,0,2,5,0,43,1
795,23,5,3,5,0,28,1
796,29,4,3,5,0,18,0
797,16,3,4,3,0,21,0
798,14,2,4,5,0,31,0
799,11,6,4,3,0,14,0
800,13,0,5,5,0,41,0
801,18,0,2,5,0,15,0
802,2,3,8,5,0,24,0
803,11,14,3,19,0,26,0
804,35,1,5,3,1,30,0
805,16,0,3,5,0,20,0
806,8,1,3,1,0,14,0
807,26,1,3,8,0,27,0
808,10,1,4,4,0,22,0
809,10,1,3,5,0,22,0
810,31,1,4,4,0,21,0
811,12,7,3,5,0,19,0
812,20,30,4,23,0,18,0
813,5,6,2,36,0,13,0
814,20,0,3,5,0,87,0
815,31,0,3,5,0,19,1
816,9,193,4,14,0,19,0
817,12,1,4,5,0,20,0
818,10,9,3,8,0,21,0
819,22,50,4,6,0,111,0
820,7,48,5,32,0,20,0
821,1,13,3,5,0,26,0
822,19,9,3,3,0,15,0
823,34,10,6,11,0,22,0
824,15,6,4,3,0,42,0
825,18,1,3,1,0,15,0
826,31,2,3,5,0,18,0
827,26,1,3,5,0,18,1
828,11,9,4,12,0,38,0
829,35,24,4,11,0,21,0
830,27,1,4,5,0,19,0
831,20,3,4,9,0,44,0
832,31,0,4,5,0,21,1
833,22,0,4,6,0,30,0
834,10,21,3,27,0,20,0
835,7,91,4,137,0,29,0
836,22,7,4,3,0,21,0
837,33,0,3,5,0,43,0
838,11,0,2,5,0,13,0
839,18,0,3,5,1,27,1
840,11,1,3,5,0,24,0
841,4,1,4,5,0,20,0
842,38,235,3,26,1,16,1
843,19,26,3,39,1,48,0
844,21,1,3,5,0,13,0
845,6,1,5,5,0,22,1
846,30,10,4,12,0,15,0
847,27,2,3,5,0,16,0
848,10,0,2,5,0,19,0
849,38,17,5,5,0,21,0
850,2,0,5,5,0,18,0
851,22,4,5,5,0,47,1
852,8,5,4,5,0,17,0
853,12,0,3,5,0,16,0
854,33,0,3,5,0,19,0
855,30,0,3,5,0,26,0
856,38,1,4,2,0,18,0
857,9,22,4,8,1,19,0
858,15,0,5,1,0,19,0
859,31,1,5,5,0,31,1
860,13,1,3,5,0,23,0
861,11,3,4,2,0,21,1
862,4,1,2,3,0,25,1
863,10,6,6,7,0,36,0
864,24,0,3,5,0,21,0
865,7,1,4,10,0,21,0
866,21,3,8,3,0,54,1
867,17,6,4,6,0,21,0
